Museum ID,Category,Group,Prop_Red,Sex,Latitude,Longitude,Incisor_L,Incisor_W,Zincisor,Log_Incisor_BF,Incisor_BiteForce,Mass,LogMass,NasoFrontalRatio,PremaxillaRatio,MaxilloFrontalRatio,CoronalRatio,SaggitalRatio,BFQ
UWBM 21076,Doug,Douglas Squirrel (Hybrid Zone),,F,49.86103942,-121.4310102,3.168,1.062,1.776411648,1.573241685,37.43188384,242,2.383815366,1.83796249,2.97700332,1.432802864,2.929335743,1.209742044,90.93082893
UWBM 21077,Hybrid,Hybrid,0.67,M,49.86103942,-121.4310302,3.272,1.024,1.827154603,1.580164818,38.03337081,255.6,2.407560849,2.27974867,2.994993051,1.444448541,2.899481316,1.276135554,90.46792862
UWBM 21078,Hybrid,Hybrid,0.64,F,49.91829756,-121.4657719,3.359,1.204,2.264098121,1.632870708,42.94085705,200.1,2.301247089,1.959174891,2.232460752,1.237654357,3.067131159,1.388079932,112.2330341
UWBM 32848,Red,Red Squirrel (Parental Range),1,F,48.5769,-120.4801,3.582,1.239,2.649544506,1.67151491,46.93695482,241,2.382017043,2.961922289,3.645922482,1.322024314,3.240562513,1.975851083,114.202747
UWBM 35510,Doug,Douglas Squirrel (Parental Range),0,M,46.7224082,-121.8348486,3.044,1.163,1.796047261,1.575943852,37.66551002,205.8,2.31344537,3.282808213,2.500589931,1.388927162,2.906366109,1.39189447,97.38649361
UWBM 35511,Doug,Douglas Squirrel (Parental Range),0,F,47.644,-122.1535,2.702,1.093,1.329963129,1.502093214,31.77556007,106,2.025305865,2.703381486,2.441110937,1.16310698,2.53241877,1.353242751,106.0603331
UWBM 39171,Red,Red Squirrel (Parental Range),1,M,48.6515691,-119.9666128,3.748,1.208,2.828230805,1.687557404,48.70318958,259.8,2.414639147,2.410300656,4.057283202,1.400361743,3.211008368,1.901728607,115.1231851
UWBM 39172,Red,Red Squirrel (Parental Range),1,F,48.6624233,-119.9448115,3.291,1.226,2.213069151,1.627267161,42.3903655,213.5,2.329397879,3.325943452,2.982980432,1.686628645,3.035248712,2.106502115,108.0642186
UWBM 39196,Red,Red Squirrel (Parental Range),0.93,M,48.7500794,-118.159036,3.641,1.163,2.569625434,1.663986319,46.13030429,226.8,2.35564305,2.337739808,3.782863584,1.675673488,2.172163554,,114.8945185
UWBM 39198,Red,Red Squirrel (Parental Range),0.99,F,48.7500794,-118.159036,3.265,1.298,2.306162008,1.637395634,43.39059788,261.6,2.41763774,3.874260115,3.357797732,1.283220141,2.777570792,2.135398857,102.2932244
UWBM 43251,Red,Red Squirrel (Parental Range),1,M,48.0062868,-117.425,3.496,1.354,2.758101611,1.681385408,48.015937,,,3.209926073,3.687919209,1.357313548,2.703148028,1.621688631,
UWBM 43252,Red,Red Squirrel (Parental Range),1,F,48.0062868,-117.425,3.558,1.29,2.72176326,1.678125297,47.65684599,,,2.664529703,2.597563586,1.407420177,3.430866746,2.277324648,
UWBM 44056,Doug,Douglas Squirrel (Parental Range),0,M,47.8298,-123.0456,2.93,1.083,1.54957445,1.539660245,34.64656991,174.4,2.241546481,2.694185605,3.34991269,1.313956193,2.556490008,1.23431503,95.47485437
UWBM 44057,Doug,Douglas Squirrel (Parental Range),0,F,47.8007,-123.0884,2.785,1.063,1.374144529,1.510126346,32.36878112,123.9,2.093071306,3.023090739,2.355118659,1.223611082,2.648602275,1.311402839,101.7426863
UWBM 44064,Doug,Douglas Squirrel (Parental Range),0,M,47.9618,-123.0903,2.815,1.113,1.469943738,1.526692203,33.62731586,156.1,2.193402903,2.955946748,2.384116554,1.061476043,2.998261694,1.213129905,96.70555591
UWBM 44065,Doug,Douglas Squirrel (Parental Range),0,M,47.9618,-123.0903,2.81,1.136,1.494994933,1.530846082,33.95049275,145.9,2.164055292,2.554221701,3.545947865,1.26347639,2.853159322,1.954478176,100.2077244
UWBM 44066,Doug,Douglas Squirrel (Parental Range),0,F,47.9618,-123.0903,2.662,1.102,1.301506815,1.496776689,31.3889428,148.1,2.170555059,2.574037176,2.533568617,1.152625876,2.560956603,1.093435203,92.11493429
UWBM 44072,Doug,Douglas Squirrel (Parental Range),0,F,47.9618,-123.0580253,3.069,1.088,1.707935328,1.563578825,36.60823787,145,2.161368002,2.761503778,2.405525278,1.246321627,3.016382434,1.805931864,108.3099314
UWBM 44377,Doug,Douglas Squirrel (Parental Range),0,F,46.992119,-122.6723224,2.81,1.043,1.372605383,1.509850865,32.34825552,165.8,2.219584526,2.718737426,2.298982444,1.129760616,2.160305254,1.181736256,90.89349035
UWBM 44379,Doug,Douglas Squirrel (Parental Range),0,F,47.9658,-124.0193,2.518,1.085,1.146541923,1.465614706,29.21559299,104.4,2.018700499,2.737783085,2.573558268,1.053224818,2.493725461,1.259311418,98.08822683
UWBM 44381,Doug,Douglas Squirrel (Parental Range),0,F,48.0811,-124.0188,2.56,1.033,1.128311467,1.461674815,28.95174967,117.2,2.068927612,2.8697742,2.9414576,1.329222948,2.962632911,1.204151958,92.97037383
UWBM 74797,Red,Red Squirrel (Parental Range),1,F,48.6211952,-117.5533871,3.459,1.306,2.604312231,1.667282267,46.48172818,231,2.36361198,2.165612188,2.772854181,1.403142857,2.38924213,1.232923877,114.9550396
UWBM 78150,Red,Red Squirrel (Parental Range),1,F,48.40480726,-117.2281596,3.018,1.289,1.956771606,1.597011718,39.53772879,161.1,2.20709554,2.629193962,3.466905833,1.428300324,2.522274248,1.620595112,112.3312637
UWBM 81534,Hybrid,Hybrid,0.59,M,48.6675,-120.8732,3.132,1.24,2.02728096,1.605713291,40.33790055,210.9,2.32407658,3.735475254,4.235023444,1.374983708,2.708273958,2.129606971,103.3180535
UWBM 81535,Hybrid,Hybrid,0.25,F,48.6675,-120.8732,3.094,1.238,1.975195161,1.599315267,39.74799874,184,2.264817823,2.36674112,2.71929135,1.162127581,3.127139706,1.43883348,107.296829
UWBM 81536,Hybrid,Hybrid,0.51,F,48.6675,-120.8732,2.819,1.345,1.781398924,1.573930831,37.49132861,168.6,2.22685757,3.322405852,2.879387829,1.235909932,2.440863504,1.575541267,104.6678618
UWBM 81539,Hybrid,Hybrid,0.34,M,48.6675,-120.8732,3.556,1.289,2.716596717,1.677658247,47.60562235,236,2.372912003,3.459143783,3.165790198,1.729699031,3.279472322,1.553551821,116.7681547
UWBM 81545,Hybrid,Hybrid,0.54,F,48.7105,-120.9,3.289,1.238,2.232015166,1.629362582,42.59538833,204.8,2.311329952,2.803513203,2.661536379,1.265891907,2.826265398,1.181133133,110.3396707
UWBM 81551,Hybrid,Hybrid,0.51,F,48.52721,-120.66231,3.278,1.238,2.217110265,1.627715608,42.43415982,242,2.383815366,2.548264463,2.320098089,1.398291223,2.628706983,1.583323555,103.082531
UWBM 81552,Hybrid,Hybrid,0.6,M,48.52722,-120.66242,3.101,1.196,1.916829399,1.591942239,39.07889179,211.3,2.324899497,3.975670483,3.065472904,1.25606451,2.829367815,1.254799533,100.0203622
UWBM 81555,Hybrid,Hybrid,0.63,F,48.52723,-120.66252,3.352,1.393,2.608602379,1.667686863,46.5250516,245.7,2.390405156,2.605451227,3.149160069,1.494683991,,1.96175092,112.3621185
